Company,Country,public website
ELECTRICITE DE FRANCE,France,edf.fr
ELIOR SERVICES FM,France,elior-services.fr
ELIS SERVICES,France,elis.com
ENEDIS,France,
ENGIE,France,www.engie-green.fr
ESSILOR INTERNATIONAL,France,essilor.fr
EURAZEO PME,France,www.eurazeo.com
EURONEXT PARIS SA,France,euronext.com
EUROP ASSISTANCE FRANCE,France,www.europ-assistance.fr
EUROPCAR FRANCE,France,www.europcar.com
EUTELSAT S.A.,France,eutelsat.com
EXXONMOBIL CHEMICAL FRANCE,France,
FAURECIA INDUSTRIES,France,faurecia.com
FAYAT BATIMENT,France,http://www.cari.fr
FNAC DARTY,France,fnacdarty.com
FR - SCOR,France,
FRANCE TELEVISIONS,France,francetelevisions.fr
FREE 3,France,
FULLSAVE,France,fullsave.com
GECINA,France,gecina.fr
GEFCO FRANCE,France,gefco.net
GENERALI FRANCE,France,
GFI INFORMATIQUE,France,gfi.fr
GL EVENTS AUDIOVISUAL,France,gl-events.com
GMF ASSURANCES,France,www.gmf.fr
GO VOYAGES,France,
GOLDATA,France,www.waldata.fr
GROUP VIVENDI AFRICA,France,vivendi.com
GROUPE LACTALIS,France,www.lactalis.fr
GROUPE LDLC,France,www.ldlc-pro.com
GROUPE MSD,France,
GSE,France,www.gsegroup.com
GTT,France,gtt.net
GUERBET,France,guerbet.com
HACHETTE LIVRE,France,www.hachette-livre.fr
HARMONIE MUTUELLE,France,harmonie-prevention.fr
HENRI SELMER PARIS,France,www.selmer.fr
HERMES,France,hermes.com
HUTCHINSON SNC,France,hutchinson.fr
IDEX ENERGIES,France,www.idex-groupe.com
IKOULA NET,France,ikoula.com
ILIAD,France,iliad.fr
INEOS FRANCE SAS,France,ineoslavera.fr
INERIS FORMATION,France,ineris-formation.fr
INFOMIL,France,infomil.com
INGENICO GROUP,France,www.ingenico.com
INTERPARFUMS,France,www.interparfums.fr
IPSEN PHARMA,France,ipsen.com
IPSOS (FRANCE),France,ipsos.com
JAGUAR NETWORK,France,jaguar-network.com
KALYST,France,www.kalyst.fr
KERING,France,www.kering.com
KONE,France,http://www.kone.fr
KORIAN,France,www.korian.fr
L & B SYNERGIE,France,www.letb-synergie.com
L'OREAL,France,www.kerastase.fr
LA BANQUE POSTALE,France,http://www.labanquepostale.fr
LA FRANCAISE DES JEUX,France,www.fdj.fr
LA MUTUELLE GENERALE,France,lamutuellegenerale.fr
LA REDOUTE,France,laredoute.fr
LABORATOIRES ARKOPHARMA,France,www.jyta.fr
LACOSTE ,France,lacoste.com
LAGARDERE,France,
LE LONGCHAMP,France,
LE ROY LOGISTIQUE,France,
LECTRA,France,lectra.com
LEGRAND FRANCE,France,http://www.legrand.fr
LES 3 MOUSQUETAIRES,France,
LES LABORATOIRES SERVIER,France,servier.fr
LESAFFRE FRERES,France,
LINKT,France,linkt.fr
LISEA,France,
LYDIA,France,
MAAF ASSURANCES SA,France,maaf.fr
MACIF,France,www.macif.fr
MALAKOFF MEDERIC ASSURANCES,France,malakoffmederic.com
MAN TRUCK & BUS FRANCE,France,www.entry.man.eu
MARSH SAS,France,www.marsh.com
MATMUT VIE,France,matmut.fr
MAZARS SAS,France,www.mazars.fr
MBDA FRANCE,France,www.mbda-systems.com
MEDIAMETRIE,France,mediametrie.fr
METROPOLE TELEVISION,France,mappy.com
MICHELIN TRAVEL PARTNER,France,michelin.fr
MNH ET CIE,France,www.tiroul.fr
MONEXT,France,
MUREX,France,murex.com
MUTAVIE,France,http://www.mutavie.fr
MUTUALITE FRANCAISE COMTOISE,France,bourgognefranchecomte.mutualite.fr
MUTUELLE GENERALE EDUCATION NATIONALE,France,mgen.fr
NAITWAYS,France,naitways.com
NAPHTACHIMIE,France,
NATIXIS,France,www.natixis.com
NETALIS,France,netalis.fr
NETIWAN,France,netiwan.fr
NEXANS FRANCE,France,http://www.nexans.com
NHINDUSTRIES,France,www.nhindustries.com
NXO FRANCE,France,nxo.eu
OBIANE,France,
ODDO BHF SCA,France,oddo-bhf.com
OFI ASSET MANAGEMENT,France,ofi-am.fr
ONET SERVICES,France,groupeonet.com
ORPEA,France,www.orpea.com
OUTSCALE,France,outscale.com
OVEA,France,ovea.com
PACWAN,France,pacwan.fr
PAPREC FRANCE,France,www.paprec.com
PARFUMS CHRISTIAN DIOR,France,www.dior.com
PARI MUTUEL URBAIN,France,pmu.fr
PARTNER INFORMATIQUE SARL,France,http://www.partner-informatique.fr
PARTOO,France,www.partoo.fr
PERENCO,France,www.perenco.com
POCLAIN HYDRAULICS,France,poclain-hydraulics.com
POLE EMPLOI,France,pole-emploi.fr
PROCTER & GAMBLE AMIENS,France,
PUBLICIS GROUPE SERVICES,France,www.publicisconseil.fr
RENAULT,France,www.alpine-rrg.com
REXEL FRANCE,France,www.rexel.fr
ROQUETTE,France,www.roquette.fr
SAFRAN,France,www.restaurant-safran.com
SAINT GOBAIN ,France,saint-gobain-glass.com
SANOFI PASTEUR,France,www.sanofipasteur.com
SANOFI-AVENTIS GROUPE,France,sanofi-synthelabo.com
SARL SCC,France,
SAS HOPUS,France,
SAUR,France,saur.com
SCOR SE,France,scor.com
SEBIA,France,http://www.SEBIA.COM
SEPTODONT OU SEPTODONT SAS OU SPECIALITES SEPTODONT,France,septodont.fr
SERINYA TELECOM,France,
SGAM AG2R LA MONDIALE,France,ag2rlamondiale.fr
SHOWROOMPRIVE.COM,France,
SIACI SAINT HONORE,France,s2hgroup.com
SKF FRANCE,France,www.skf.com
SNCF,France,sncf.com
SNCF MOBILITES,France,
SNCF RESEAU,France,http://ceva-france.fr
SNEF,France,snef.fr
SNF FONDATION,France,www.restaurantlefrank.fr
SOCIETE ANONYME DES GALERIES LAFAYETTE,France,galerieslafayette.com
SOCIETE GENERALE,France,http://www.societegenerale.com
SOFTWAY MEDICAL SERVICES,France,softwaymedical.fr
SOLVAY ENERGY SERVICES,France,solvay.fr
SPB,France,www.spb.eu
SPIE SA,France,http://www.spiefondations.com
SPLIO,France,splio.com
STEF 2,France,
STMICROELECTRONICS SA,France,st.com
STOLZ SEQUIPAG,France,www.stolz.fr
SUD GROUPE BPCE,France,
SUEZ INTERNATIONAL,France,https://www.suez.com
SULZER POMPES FRANCE,France,
TECHNICOLOR DELIVERY TECHNOLOGIES,France,www.technicolor.com
TEREOS FRANCE,France,tereos.com
TF1 PUBLICITE,France,http://tf1events.fr
THALES,France,www.thalesgroup.com
TOTAL DIRECT ENERGIE,France,direct-energie.com
TRANSATEL,France,www.transatel.com
TRANSDEV PARK SERVICES,France,
UBISOFT ENTERTAINMENT,France,http://www.ubisoft.com
VALEO VISION,France,valeo.com
VENTE-UNIQUE.COM,France,www.diamant-unique.com
VERLINGUE,France,verlingue.fr
VERSPIEREN,France,verspieren.com
VINCI CONSTRUCTION,France,vinci-construction.fr
VINCI ENERGIES SYSTEMES D INFORMATION,France,vinci-energies.com
WITBE,France,http://www.witbe.net
WORLDLINE,France,worldline.com
ZODIAC AEROSPACE SERVICES EUROPE,France,www.zodiacaerospace.com
Accor Hotels,France,
AG2R-La Mondiale,France,
Air France - KLM,France,
Airbus group,France,
Arcelor Mittal,France,
Azur-GMF Mutuelles D'Assurances Associees,France,
Biomérieux,France,
BNP Paribas Cardif,France,
Bollore Logistics Co,France,
Bollore,France,
BPCE,France,
Groupe Banque Populaire,France,
Cofidis,France,
Crédit Mutuel CIC ,France,
Danone,France,
Dassault Systèmes,France,
ELIVIA,France,
ENGIE Solutions,France,
ESSITY FRANCE,France,
ESSO RAFFINAGE,France,
Europe Airpost,France,
